Radius [mm],Diameter [mm],Volume [mm³],Voxel,Surface [mm²],Compactness,Sphericity
0.0269,0.0539,3.6e-05,2167,0.0081552,0.44,0.65
0.0223,0.0446,3.2e-05,1926,0.0072694,0.69,0.67
0.0214,0.0428,3.2e-05,1925,0.0072824,0.78,0.67
0.0216,0.0431,3.0e-05,1804,0.0069437,0.72,0.67
0.0327,0.0653,4.8e-05,2916,0.0106305,0.33,0.60
0.0241,0.0481,3.2e-05,1924,0.0073866,0.55,0.66
0.0226,0.0451,3.3e-05,1987,0.0075169,0.69,0.66
0.0235,0.0470,3.3e-05,1986,0.0074127,0.61,0.67
0.0237,0.0474,3.4e-05,2043,0.0075560,0.61,0.67
0.0207,0.0415,3.0e-05,1800,0.0069697,0.80,0.67
0.0215,0.0430,3.2e-05,1918,0.0072954,0.77,0.67
0.0258,0.0517,3.2e-05,1918,0.0073345,0.44,0.66
0.0419,0.0837,7.0e-05,4196,0.0139004,0.23,0.59
0.0254,0.0507,3.5e-05,2101,0.0080120,0.51,0.64
0.0216,0.0432,2.9e-05,1734,0.0067353,0.68,0.68
0.0217,0.0434,3.3e-05,1977,0.0073866,0.77,0.67
0.0213,0.0425,3.0e-05,1793,0.0069437,0.74,0.67
0.0220,0.0440,3.2e-05,1912,0.0072694,0.71,0.67
0.0366,0.0732,6.1e-05,3699,0.0129755,0.30,0.58
0.0252,0.0503,3.4e-05,2029,0.0075951,0.50,0.66
0.0230,0.0460,3.3e-05,1971,0.0074648,0.64,0.66
0.0350,0.0700,4.9e-05,2952,0.0109431,0.27,0.59
0.0222,0.0445,2.9e-05,1726,0.0066962,0.62,0.68
0.0290,0.0579,3.8e-05,2280,0.0084158,0.37,0.65
0.0213,0.0426,3.0e-05,1783,0.0069176,0.73,0.67
0.0255,0.0511,3.6e-05,2139,0.0078686,0.51,0.66
0.0215,0.0430,3.3e-05,1963,0.0075690,0.78,0.65
0.0239,0.0479,3.2e-05,1899,0.0072824,0.55,0.66
0.0265,0.0529,3.9e-05,2326,0.0084549,0.50,0.65
0.0362,0.0725,6.1e-05,3646,0.0127540,0.30,0.59
0.0414,0.0829,7.0e-05,4211,0.0146299,0.24,0.56
0.0204,0.0407,2.7e-05,1601,0.0064356,0.75,0.67
0.0330,0.0660,5.2e-05,3110,0.0110343,0.34,0.61
0.0225,0.0450,3.4e-05,2072,0.0078035,0.72,0.66
0.0225,0.0450,3.1e-05,1886,0.0072303,0.66,0.67
0.0210,0.0420,2.9e-05,1766,0.0069307,0.76,0.66
